aaa,9951805,9631,116,197
aab,9914510,8105,139,209
aac,9649370,9131,249,411
aad,9819868,8257,245,355
aae,9770773,8477,128,284
aaf,9812664,8970,77,177
aag,9925282,8921,7,16
aba,9575423,10489,122,329
abb,9968748,7388,37,80
abc,9733963,8479,212,301
abd,9987065,8614,9,22
abe,9534678,8860,14,47
abf,9898086,7584,78,126
abg,9767686,8158,154,238
aca,9918771,8944,92,193
acb,9775148,8986,69,139
acc,9965847,8713,168,306
acd,9973903,9492,97,210
ace,9796579,9123,96,209
acf,9893731,8122,59,232
acg,9727825,7941,75,142
ada,9922828,10370,5,6
adb,9954878,9870,95,211
adc,9888155,9367,195,310
add,9998988,8978,62,103
ade,9710846,9682,61,117
adf,9991452,8442,86,161
adg,9861976,8094,6,13
aea,9948848,9356,87,215
aeb,9982397,9944,287,464
aec,9869166,7620,93,192
aed,9968417,7608,18,45
aee,9985939,7282,127,220
aef,9970772,9717,47,91
aeg,9695278,8284,342,574
afa,9898118,9395,68,185
afb,9962872,8488,114,327
afc,9652108,8667,72,156
afd,9841355,9553,131,253
afe,9940065,9449,151,334
aff,9893521,8928,347,563
afg,9711531,10210,240,386
aga,9995481,10179,125,257
agb,9863339,8267,148,246
agc,9685807,8790,96,203
agd,9686895,10142,214,468
age,9932798,7711,21,61
agf,9936258,8553,94,140
agg,9949224,9887,78,136
baa,9843622,8535,92,143
bab,9991527,10145,95,138
bac,9719780,10158,54,100
bad,9896583,9195,127,176
bae,9946903,9240,36,111
baf,9827666,9249,91,248
bag,9948603,9413,121,284
bba,9300568,9096,72,131
bbb,9582192,8874,46,94
bbc,9903877,9150,58,132
bbd,9995304,6950,150,361
bbe,9996353,9206,533,1531
bbf,9962460,8603,158,331
bbg,9955930,10214,119,171
bca,9971170,9169,28,120
bcb,9828198,11217,5,12
bcc,9885546,9353,72,169
bcd,9733823,9833,129,267
bce,9846103,10662,76,270
bcf,9874436,7870,110,181
bcg,9959311,8832,7,19
bda,9970692,9406,7,18
bdb,9656095,10031,55,183
bdc,9820846,9315,99,236
bdd,9973942,9053,70,152
bde,9880526,10060,208,403
bdf,9702549,8917,7,11
bdg,9686823,11018,14,49
bea,9861946,9169,9,26
beb,9713383,7822,212,347
bec,9687852,9670,64,223
bed,9769079,10719,32,79
bee,9968086,8022,26,118
bef,9993039,7756,202,360
beg,9746246,7943,30,73
bfa,9977344,10449,118,228
bfb,9722960,10308,443,685
bfc,9839276,7219,151,238
bfd,9781532,7744,19,53
bfe,9822481,10628,128,330
bff,9941007,7169,48,131
bfg,9736558,7857,158,364
bga,9596166,9289,6,19
bgb,9936369,8853,236,373
bgc,9993714,7420,75,115
bgd,9682227,8775,86,126
bge,9851320,8034,197,320
bgf,9985480,8079,21,61
bgg,9924359,7223,30,92
caa,9586029,7581,51,113
cab,9805866,8445,89,166
cac,9822498,8754,65,237
cad,9826265,9677,169,235
cae,9981484,10438,12,41
caf,9881310,9465,115,222
cag,9992797,7854,100,227
cba,9870890,8981,210,376
cbb,9834905,9250,143,332
cbc,9636982,8927,40,84
cbd,9205702,10058,316,500
cbe,9733818,6770,169,330
cbf,9775012,8990,96,210
cbg,9933565,10024,17,80
cca,9683518,8788,99,232
ccb,9992166,7974,147,259
ccc,9922672,10145,198,299
ccd,9979522,8913,241,392
cce,9949803,9256,99,239
ccf,9982965,7484,63,165
ccg,9579709,9503,351,623
cda,9669104,9306,104,163
cdb,9896677,6431,82,123
cdc,9740036,8833,200,321
cdd,9931572,9278,96,167
cde,9818874,8680,41,72
cdf,9926526,10055,161,292
cdg,9616124,9712,121,169
cea,9917380,9532,78,161
ceb,9875618,8336,147,201
cec,9910363,7047,134,195
ced,9741840,9210,74,189
cee,9825762,8272,194,307
cef,9965519,8873,6,11
ceg,9983017,10526,39,100
cfa,9789643,9681,57,166
cfb,9801405,8866,239,495
cfc,9992600,9940,22,102
cfd,9929795,10496,10,27
cfe,9963050,8428,80,126
cff,9878132,8676,106,325
cfg,9756346,8240,82,164
cga,9570084,8373,98,136
cgb,9611371,9659,79,263
cgc,9969934,9361,279,372
cgd,9684190,7184,70,121
cge,9937366,7133,83,126
cgf,9977853,9160,107,272
cgg,9671571,9044,101,138
daa,9861174,8239,152,372
dab,9978026,8623,9,34
dac,9971937,7962,96,148
dad,9863356,9402,206,306
dae,9680489,8695,106,173
daf,9869363,9629,117,301
dag,9940377,8262,43,116
dba,9912972,8742,32,88
dbb,9898851,7642,178,272
dbc,9923333,9066,119,334
dbd,9900794,7697,151,230
dbe,9810300,8622,72,210
dbf,9714108,9440,70,107
dbg,9767426,7880,270,528
dca,9996416,7900,47,99
dcb,9995810,8673,123,243
dcc,9751869,9122,9,16
dcd,9998821,8347,70,272
dce,9981328,8411,221,289
dcf,9974695,6821,32,52
dcg,9854726,9652,6,18
dda,9976944,8647,498,833
ddb,9648441,9129,147,247
ddc,9985526,9252,166,440
ddd,9443085,8974,49,202
dde,9948783,8426,104,305
ddf,9987837,9185,20,63
ddg,9957450,9034,32,76
dea,9637437,7816,160,284
deb,9440062,10195,12,40
dec,9840264,9175,231,357
ded,9963430,8004,203,425
dee,9749333,9321,166,307
def,9461608,9929,200,403
deg,9930614,8674,82,160
dfa,9811173,7643,52,183
dfb,9947969,8384,162,346
dfc,9537576,9924,26,101
dfd,9692945,9506,46,127
dfe,9928714,6989,280,459
dff,9840467,9904,134,197
dfg,9823366,8978,88,157
dga,9812149,8939,85,131
dgb,9961146,8751,5,5
dgc,9750473,8702,36,92
dgd,9984434,8854,66,137
dge,9642472,9429,178,276
dgf,9946077,7627,22,60
dgg,9788982,8700,37,82
eaa,9858005,12067,173,429
eab,9870135,9320,66,163
eac,9430236,10179,73,139
ead,9805471,9067,206,298
eae,9852882,8625,105,280
eaf,9880135,9362,155,291
eag,9944354,9391,53,109
eba,9975935,8916,46,126
ebb,9840110,8696,228,376
ebc,9968750,9315,52,104
ebd,9969143,8966,103,271
ebe,9816302,8237,66,123
ebf,9966825,8582,41,80
ebg,9883482,8756,47,119
eca,9774609,8884,240,423
ecb,9704462,8978,117,272
ecc,9804745,9423,241,355
ecd,9781265,9007,434,807
ece,9986006,9148,144,194
ecf,9983111,9369,48,111
ecg,9793658,9743,33,63
eda,9745837,8777,489,935
edb,9978544,8426,143,240
edc,9777521,7899,297,449
edd,9518703,8514,174,294
ede,9988731,9154,60,115
edf,9771638,9490,98,174
edg,9734873,6983,11,40
eea,9880070,10199,21,42
eeb,9881210,8798,252,463
eec,9963200,7879,95,223
eed,9862299,9075,107,198
eee,9985706,10502,25,61
eef,9931978,8371,99,246
eeg,9932133,9041,187,340
efa,9999651,8965,10,18
efb,9742809,7960,62,190
efc,9874165,7246,12,45
efd,9934940,9072,7,19
efe,9777768,9623,80,189
eff,9215393,8269,212,321
efg,9683417,8108,173,520
ega,9978184,9463,164,256
egb,9642330,9818,43,77
egc,9203956,11849,34,90
egd,9966739,7072,174,285
ege,9546381,8192,229,380
egf,9850077,8513,111,275
egg,9990738,10236,527,1004
faa,9978318,9279,72,187
fab,9588736,8650,85,152
fac,9714424,8692,178,293
fad,9753053,7902,87,195
fae,9840380,10718,113,236
faf,9964060,10222,98,200
fag,9971386,7468,222,641
fba,9955658,9497,50,148
fbb,9697697,9037,129,198
fbc,9954622,8585,67,103
fbd,9968494,10027,45,74
fbe,9884791,8986,108,266
fbf,9573097,8890,217,369
fbg,9959853,8294,21,51
fca,9924474,7230,119,250
fcb,9970812,9930,80,157
fcc,9880564,9896,149,248
fcd,9994827,6947,93,190
fce,9952992,10577,224,312
fcf,9898567,9868,23,58
fcg,9948500,8241,187,273
fda,9987743,9436,390,836
fdb,9998520,10317,40,136
fdc,9746297,9586,73,207
fdd,9747191,6986,80,158
fde,9970609,8563,27,57
fdf,9785600,8560,88,184
fdg,9964021,7857,198,329
fea,9828946,9489,244,371
feb,9990318,8811,140,227
fec,9979174,9292,327,575
fed,9787080,7499,194,327
